Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
97.9307,77.0094,89.7019,47.0183,67.8556,39.8038,98.386,8.85618,12.1079,7.30055,9.65221,14.8978,21.7155,16.2282,12.976,8.05225,6.80891,7.18873,13.8108,9.47204,105.668,14.9207,165.978,117.965,153.109,103.471,121.742,135.694,169.946,140.157,77.6951,45.0133,62.8374,143.572,22.1612,13.529,85.9259,96.6587,49.3508,50.1297,34.953,237.67,166.289,77.8409,6.61114,95.538,88.2767,15.5531,22.6821,51.0464,22.0135,65.1955,152.051,60.1331,55.0261,163.548,284.668,196.393,247.513,75.4085,85.0358,78.9146,78.0674,25.1692,108.523,105.857,106.941,108.157
6.99109,5.81206,3.46458,5.02086,5.37322,2.47865,5.24776,41.6318,68.415,30.5546,24.8776,28.633,86.7923,86.7992,47.4245,15.2539,42.9382,28.1472,6.49024,9.96553,4.46102,2.08552,47.9006,3.54403,4.89906,4.67599,4.47691,4.37053,3.49416,4.69539,4.71852,1.8684,4.99153,5.79263,2.8919,4.29489,7.41874,2.05793,1.8674,1.31779,1.48105,15.6151,22.0841,3.17153,1.74636,6.07171,4.00921,0.793615,0.966353,8.51391,0.890244,11.4746,4.15377,4.849,4.89094,8.57795,56.1289,19.9884,42.3946,2.41415,2.4948,1.48735,4.23116,4.14456,4.11478,5.14992,3.35579,41.0765
258.51,230.009,132.257,255.58,253.967,324.555,292.406,97.4863,88.3675,81.1415,211.005,162.047,77.394,94.3824,90.305,96.5359,103.791,75.5051,161.704,104.229,273.44,308.244,401.734,350.706,432.089,258.422,189.469,197.559,133.624,263.194,232.069,203.981,215.348,352.195,81.0832,57.0537,113.564,174.447,58.7829,75.5053,85.5713,210.189,191.671,175.697,131.855,257.795,569.392,105.728,97.833,118.492,123.778,142.424,237.217,257.429,241.257,188.291,290.736,214.83,174.514,150.916,189.581,136.917,297.619,68.6811,228.647,371.45,279.323,56.4037
10.9042,8.7215,9.19926,26.6574,19.4723,21.048,16.2232,37.5414,67.7385,36.9233,83.3997,81.7075,107.859,113.823,37.1116,82.362,60.2017,31.0028,33.6258,38.0146,9.56815,49.2221,55.5018,20.0623,16.0167,26.5736,25.1466,35.8653,21.0638,16.7512,19.3195,25.5376,19.2137,14.5509,5.04121,4.84607,20.08,12.9971,7.67284,6.67467,9.66975,11.9078,19.5463,8.29789,2.03843,23.9145,12.5591,3.23895,3.08954,5.45102,3.91329,68.5537,12.9872,21.9406,19.26,27.4804,16.1795,31.4132,19.2207,10.785,11.0084,6.36417,25.9422,49.1804,7.30317,18.499,21.6437,3.55123
13.5137,15.6328,12.1945,12.4743,11.5076,3.18283,9.80468,8.71758,15.9015,10.1497,347.76,376.66,39.9211,26.3569,13.5362,9.93764,16.6981,7.06754,4.92258,3.57113,15.9801,1.79996,0.385144,30.8234,31.4495,9.47032,21.1246,26.4643,35.2585,10.9637,9.51121,35.1032,9.36184,25.4902,5.84279,7.82788,8.69608,15.5913,2.86741,2.44819,1.87736,32.6001,13.8155,13.5263,1.815,55.0735,14.7779,1.89621,3.35238,3.86558,2.14927,114.231,23.7377,79.0176,63.1957,25.8606,63.7694,31.3291,106.204,5.47944,6.08436,4.47129,7.80091,13.8116,15.3834,14.8328,28.0028,10.7093
16.6068,15.9456,13.0516,14.919,11.6914,4.28731,10.825,8.93795,18.0702,6.74203,156.246,205.512,33.7124,24.759,14.771,6.63151,12.0414,4.07483,3.12115,3.0056,17.0808,3.68144,0.540522,30.8499,23.8716,9.7501,9.79294,8.89233,9.82973,7.31373,11.0178,28.4583,10.8673,20.2338,6.81899,7.40126,4.68887,11.4889,1.08156,0.84557,0.736654,10.3653,10.8393,11.8007,1.94215,45.1553,12.8894,1.91043,1.64654,2.86674,1.74561,68.0008,15.8604,112.2,95.4451,10.3241,7.46489,7.71212,74.0785,4.78392,4.26473,2.1394,8.30695,11.0962,14.0056,15.365,24.1267,0.328305
155.355,119.335,76.0818,162.641,150.214,176.706,103.362,47.6683,35.8764,45.1966,39.5091,40.0432,38.6382,40.3921,53.2963,51.1466,37.9194,50.158,206.167,81.4088,118.281,140.132,18.399,106.395,126.32,93.9755,71.4966,73.9174,55.6113,84.4651,105.484,81.9184,104.144,128.36,46.5881,30.0825,53.2101,57.2768,20.4161,23.3738,27.7744,97.2236,126.63,59.2739,49.1765,153.655,109.622,16.4786,15.5754,45.3138,16.5157,73.6707,84.1792,96.517,104.317,61.8778,52.7886,69.6302,74.0625,52.4705,57.5437,40.2937,102.3,57.5248,92.8213,130.954,101.288,69.1948
191.14,191.743,254.318,286.91,263.651,251.594,194.181,179.088,203.221,173.558,292.947,241.561,187.709,234.524,147.583,196.637,206.327,152.931,202.89,178.782,195.91,326.352,331.162,186.545,225.508,209.967,145.815,145.416,83.4317,202.667,210.698,108.731,214.297,226.355,142.506,134.815,131.216,173.475,109.498,150.913,195.097,154.735,172.686,138.512,225.946,266.589,236.379,79.2532,85.6529,161.305,105.187,258.984,217.382,95.9808,99.6085,125.825,151.415,174.469,155.869,133.78,158.396,114.23,223.597,154.046,246.85,210.292,161.891,70.8363
421.972,370.656,306.391,772.797,533.326,588.627,402.522,354.087,435.6,448.451,309.29,345.583,437.155,449.472,296.715,324.977,507.978,376.985,227.411,287.856,389.129,1971.4,2412.59,449.475,322.018,319.387,300.142,291.335,220.231,224.719,412.679,853.546,518.193,345.131,155.843,71.1762,396.233,811.614,188.515,221.008,247.742,268.782,477.912,464.845,93.3576,483.362,321.872,75.1219,62.9318,141.043,88.6214,239.613,296.114,480.537,497.421,345.422,289.387,337.804,383.588,210.74,182.345,132.365,269.893,272.973,325.947,352.222,533.428,527.636
9.52792,11.9204,3.7749,10.9278,10.3541,9.86921,10.3474,4.34651,5.76395,3.17488,6.54963,7.63479,8.40093,7.47851,4.94518,4.6277,2.81641,2.91719,4.72505,4.48479,7.40527,8.46631,116.361,10.7185,10.8511,9.7445,7.61047,6.13981,5.30472,10.9425,9.60988,6.99293,9.92934,12.5684,2.81861,1.66063,5.9542,8.77111,2.27159,2.13277,2.72476,35.2005,25.1601,6.43735,0.855687,10.8896,15.6063,1.77372,1.40258,2.09108,1.74769,5.22747,9.48841,4.51695,5.10226,16.523,122.605,44.0029,91.4276,5.29786,4.98568,2.72385,8.8839,9.75274,11.727,13.3679,10.8993,114.324
