Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
24.6083,25.2417,26.1245,42.9079,37.5729,30.6487,43.5585,21.5304,29.2289,23.8667,68.728,77.7269,42.018,37.5101,23.4792,29.8712,27.5541,21.7633,21.9639,18.1562,27.4396,15.6557,15.0991,45.2748,58.5531,41.5527,32.0699,33.6575,33.9777,45.4536,37.5526,33.5878,34.3003,58.7911,20.6342,20.484,18.7441,40.199,15.8257,12.8078,11.9777,25.7005,40.8037,26.2123,45.8248,40.7204,78.0691,11.9193,13.9534,26.5237,14.2969,86.0654,55.1593,46.2445,42.9128,32.2472,51.099,39.6474,42.6546,23.9907,25.7881,19.7467,41.1717,51.6156,60.9691,58.341,44.0885,15.211
0.286214,0.922484,5.01574,0.267915,0.481746,0.23488,1.32236,16.944,29.7393,19.1606,90.4644,85.5881,39.2612,42.297,16.9514,18.3816,26.8875,16.7923,21.2403,14.3075,1.68877,0.252814,0.62089,4.05285,2.08277,1.56357,4.94641,6.80623,6.90017,1.40659,1.0062,7.37301,0.780226,1.51504,2.9161,1.75555,4.93507,7.76447,2.63429,2.30038,3.26111,3.62451,20.2495,5.67658,0.076301,0.507532,1.67124,2.81489,2.20194,2.99459,2.70102,11.5392,5.84021,7.52694,7.39141,7.87609,5.62909,7.34907,6.85725,3.73597,3.79201,3.74759,0.88325,35.4531,15.2097,1.12035,5.21995,2.87263
10.9573,9.22231,10.6429,15.9634,13.5208,13.3575,11.6867,5.73216,6.10707,4.5259,12.2959,12.9857,5.94576,6.04443,5.96397,7.37905,4.91631,4.30125,7.08921,5.69037,11.0005,13.0651,10.0644,17.1613,21.2995,13.1427,7.95789,6.47914,4.72844,13.3722,12.7268,7.01727,12.0083,16.9837,5.18214,3.53068,9.41792,13.0355,6.02994,5.83248,5.90939,12.1554,12.1713,6.85073,2.8834,12.7524,15.6195,3.82096,5.18203,10.7112,4.67651,23.7997,18.4695,9.16007,9.34122,8.73236,15.2244,9.50985,12.8849,9.0336,10.0058,9.59179,15.7024,18.0779,17.6519,19.6585,13.6136,6.40387
16.4149,12.805,23.4913,11.6932,12.8757,13.5145,15.0389,15.7682,17.3863,16.0543,10.3919,11.6835,18.0847,18.1723,13.3894,14.5973,17.3009,13.6818,23.2588,16.1033,15.3359,20.7672,16.1944,14.7802,15.411,11.3308,9.897,9.52993,8.70859,11.65,10.6485,14.3052,10.9157,15.5115,6.20851,5.66842,9.06911,15.7373,6.49877,5.62626,6.18021,10.6289,10.8678,13.643,8.59646,21.5295,16.4602,7.40311,5.98449,10.3362,6.78764,18.6993,16.3399,13.3248,14.8402,9.29362,9.36416,9.55718,10.0231,9.25966,8.89238,7.75606,10.5196,34.0414,16.9682,14.2599,13.5879,2.32863
15.5912,13.1357,12.5639,16.0455,15.5751,17.7947,20.2297,5.8902,8.91795,9.02918,29.257,30.2564,15.3839,14.0027,6.37004,7.79328,11.6998,7.65176,7.50185,5.88244,15.2199,15.005,20.4121,18.5257,21.3533,20.0148,15.4882,13.9263,12.1135,15.1122,19.8926,10.8401,21.5843,19.8826,13.9043,11.9621,7.96873,16.4441,7.0835,7.03403,7.06043,15.7538,20.8472,13.3538,18.6597,20.4734,16.5783,4.72966,4.95317,12.823,5.06723,21.8819,17.7574,15.888,18.848,16.9036,26.4443,17.4347,21.8632,12.0051,11.8432,8.87981,12.6643,18.2562,22.6487,22.9998,18.1316,12.0821
0.260902,0.382756,0.030008,0.451755,0.733005,1.66976,0.924643,8.6876,9.11931,5.51245,4.20727,5.55894,5.73048,4.92789,3.24031,10.5701,12.0582,3.47483,0.608397,3.0547,0.31853,0.0,0.462515,0.571986,0.329504,0.175687,0.619904,0.792696,1.11812,0.134499,0.217386,0.982361,0.157044,0.513171,1.22993,0.630094,0.0770015,0.351269,0.14488,0.128078,0.118654,0.360635,0.297395,0.156509,0.0664255,0.739147,0.137514,0.041944,0.045958,0.096403,0.0399215,2.21846,0.516638,4.02927,6.00896,0.316457,0.193154,0.231156,0.26175,0.177652,0.102748,0.106761,0.102107,2.16604,0.550619,0.450786,0.678326,0.0
16.4678,13.0752,26.9057,9.70141,12.2126,8.38969,23.3378,29.3018,49.3092,22.932,29.2104,31.3616,52.1799,54.2347,30.0191,36.9676,33.2743,19.1147,18.37,20.3852,18.8161,25.7092,21.2544,17.6289,24.5406,24.8151,37.6791,49.4078,47.794,20.3097,16.8046,18.3507,17.4155,23.0365,5.64504,3.97717,14.8109,38.8871,5.24833,6.35575,6.57333,36.9334,27.8274,13.3979,1.07617,31.8485,14.3472,4.87878,4.86232,12.5984,5.29142,18.5083,22.7812,13.1749,14.4934,35.6605,24.5519,35.5334,33.1417,18.4176,20.1354,17.5253,12.9604,18.6144,20.1866,20.9826,18.0315,6.60127
2.52484,1.5207,0.286273,38.692,25.338,31.3894,1.65753,3.79188,3.9238,4.47448,0.244278,0.365164,5.11192,3.97955,2.14973,1.5633,3.77305,3.40863,2.16128,1.79354,1.93648,0.085897,0.011379,1.23552,1.81887,1.83433,1.10223,0.581381,0.236475,0.657657,2.8481,0.481992,2.08417,3.19263,1.03799,3.4613,3.11226,8.20781,0.148386,0.020984,0.060069,4.60854,5.21974,0.552906,0.260287,21.3284,2.59199,4.03417,4.02633,2.23582,3.15425,0.34368,1.10488,0.558264,0.82533,1.3557,0.40473,0.822753,1.06519,12.5071,13.7143,12.4833,1.43846,1.7199,19.1359,1.98688,1.40892,0.019884
4.02851,2.35277,0.605706,0.526908,1.43142,0.318159,7.50966,0.893954,1.14939,0.857618,1.03159,1.40834,1.58658,1.34398,0.930311,2.28378,0.640138,0.762997,4.83669,2.27771,8.9777,0.0720445,0.019357,9.65283,2.79225,2.16756,29.9384,63.6308,71.1126,7.30953,1.56668,26.0597,1.59929,2.28594,0.817791,0.377724,20.8882,40.4507,4.52751,3.79442,3.53177,30.213,8.18439,31.2962,0.678581,38.0625,2.30797,8.27702,10.1616,21.4326,10.0122,32.3615,22.3582,9.99978,11.0228,27.5131,1.5802,47.1583,1.53778,23.5633,29.4205,28.6364,1.01509,8.49472,28.9022,0.569059,16.6266,0.048265
0.070163,0.078943,0.059577,0.116454,0.124042,0.07788,0.222145,0.439353,0.270575,0.346609,10.4501,11.6773,0.260348,0.24882,0.741014,0.584956,0.25073,0.252378,1.07274,0.478723,0.622465,0.0891845,18.045,3.14634,0.303646,0.095575,0.178657,0.238371,0.24972,0.098217,0.07944,5.35475,0.074287,1.38097,0.075828,0.055542,0.0853285,0.149366,0.095335,0.072512,0.021425,0.192288,0.825941,4.28635,0.182229,0.35508,0.34318,0.194559,0.240885,0.120815,0.211613,0.548368,4.99808,7.52433,8.3867,0.26003,0.94486,0.290406,0.914423,0.11807,0.102477,0.093884,0.082491,2.05331,0.517324,0.146442,5.32783,0.139505
